year,type,price
2020,10bds,1950.0
2020,1bd,2225.0
2020,2bds,2895.0
2020,3bds,3999.0
2020,4bds,5600.0
2020,6bds,9500.0
2020,Studio,1895.0
2021,10bds,12500.0
2021,1bd,2495.0
2021,2bds,3400.0
2021,3bds,4400.0
2021,4bds,4800.0
2021,5bds,6417.5
2021,7bds,9850.0
2021,Studio,2240.0
2022,1bd,2695.0
2022,2bds,3573.5
2022,3bds,4776.0
2022,4bds,6595.0
2022,5bds,7135.0
2022,6bds,8850.0
2022,7bds,9850.0
2022,Studio,2663.5
2023,1bd,3210.0
2023,2bds,4062.0
2023,3bds,5679.0
2023,4bds,5395.0
2023,5bds,7395.0
2023,Studio,2640.0
2024,1bd,2745.0
2024,2bds,3795.0
2024,3bds,5395.0
2024,4bds,6000.0
2024,Studio,2445.0
