Unnamed: 0,Apartment Options,Cost
Intersection Apartments,Standard single-occupancy studio apartment – furnished,"$1,560-$1,715"
Intersection Apartments,"Single-occupancy junior one-bedroom, one-bath apartment – furnished","$1,785"
Intersection Apartments,"Standard one-bedroom, one-bath apartment – furnished","$2,105-$2,300"
Intersection Apartments,"Single-occupancy room in a two-bedroom, one-bath apartment – furnished","$1,745"
Intersection Apartments,"Single-occupancy room in a two-bedroom, two-bath apartment – furnished","$1,765-$1,950"
Intersection Apartments,"Single-occupancy room in a four-bedroom, three-bath apartment – furnished","$1,645-$1,820"
Jackson House Apartments,Furnished single-occupancy room in a shared 2-bedroom apartment,"$1,715"
Jackson House Apartments,Furnished single-occupancy room in a shared 3-bedroom apartment,"$1,640"
Jackson House Apartments,Furnished single-occupancy room in a shared 4-bedroom apartment,"$1,620"
Jackson House Apartments,Furnished single-occupancy room in a shared 5-bedroom apartment,"$1,535"
Jackson House Apartments,Furnished single-occupancy room in a shared 6-bedroom apartment,"$1,465"
Manville Apartments,Standard single-occupancy studio apartment – unfurnished,"$1,600"
Manville Apartments,Standard single-occupancy studio apartment – furnished,"$1,660"
Manville Apartments,Deck/Court single-occupancy studio apartment – unfurnished,"$1,640"
Manville Apartments,Deck/Court single-occupancy studio apartment – furnished,"$1,720"
Manville Apartments,Bayview single-occupancy studio apartment – unfurnished,"$1,640"
Manville Apartments,Bayview single-occupancy studio apartment – furnished,"$1,720"
